Ticker,count_7_11_2022,nlp_7_11_2022
AAPL,17.0,0.3949823529411764
MSFT,14.0,0.5840785714285713
GOOG,8.0,0.5792375000000001
AMZN,22.0,0.5614863636363637
TSLA,51.0,0.21488823529411766
NVDA,9.0,-0.011866666666666685
V,4.0,0.24134999999999998
JPM,10.0,0.53122
UNH,,
JNJ,3.0,0.26319999999999993
WMT,2.0,0.8767
PG,2.0,0.7330000000000001
BAC,3.0,0.4966333333333333
MA,5.0,0.69368
HD,,
XOM,2.0,0.98445
DIS,10.0,0.12343000000000001
KO,7.0,0.2343714285714286
PFE,4.0,0.6946749999999999
ABBV,2.0,-0.0943
CVX,,
AVGO,,
PEP,2.0,0.4895
LLY,,
VZ,2.0,-0.0943
COST,4.0,0.8041250000000001
NKE,4.0,0.8657999999999999
WFC,2.0,0.9935
CMCSA,1.0,0.8176
TMO,,
ABT,1.0,-0.2023
ADBE,1.0,-0.6161
ORCL,,
CRM,,
MRK,3.0,0.26919999999999994
AMD,19.0,0.24601578947368416
DHR,,
MCD,,
QCOM,2.0,0.2434
INTC,6.0,0.5002
UPS,1.0,0.8501
NFLX,8.0,0.24111249999999998
T,5.0,0.80988
MS,3.0,0.8375
PM,2.0,0.03560000000000002
SCHW,,
UNP,1.0,0.8658
TMUS,1.0,-0.937
TXN,1.0,0.9163
AXP,,
BMY,,
NEE,,
LOW,,
RTX,4.0,0.784125
INTU,,
CVS,1.0,0.9788
C,8.0,0.8830874999999999
HON,1.0,0.8501
AMGN,,
PYPL,2.0,0.027749999999999997
BA,3.0,0.9403
AMAT,2.0,0.258
GS,4.0,0.8642
COP,,
BLK,1.0,0.5574
IBM,1.0,0.9936
NOW,1.0,-0.7783
DE,1.0,0.6369
SBUX,1.0,0.0
EL,,
ANTM,,
PLD,,
LMT,1.0,0.8501
AMT,2.0,-0.0943
GE,3.0,0.8228
BKNG,,
CHTR,,
MU,5.0,0.8326799999999999
ISRG,,
SYK,,
TGT,2.0,0.18585000000000002
MO,1.0,0.9884
SPGI,,
MDLZ,,
ZTS,,
BX,,
USB,,
CME,,
PNC,2.0,0.9876
MMM,1.0,0.8501
ADI,,
ADP,,
SNOW,2.0,0.91635
TFC,,
LRCX,1.0,0.9163
DUK,,
MMC,,
GILD,,
CSX,,
BDX,,
HCA,1.0,0.9788
CI,1.0,-0.8885
TJX,1.0,0.8307
CCI,,
F,4.0,0.8174
ICE,2.0,0.7461
GM,3.0,0.9912666666666666
SHW,1.0,0.9709
SO,2.0,-0.9318500000000001
REGN,,
ITW,,
EW,,
CL,,
UBER,1.0,0.9884
PSA,5.0,0.12904000000000002
EOG,,
D,2.0,0.68585
COF,1.0,0.9878
ATVI,1.0,-0.937
EQIX,,
PGR,3.0,-0.013033333333333305
FISV,,
NSC,,
BSX,,
FCX,,
NOC,,
GD,1.0,0.8501
MCO,,
SNAP,4.0,0.576275
VRTX,4.0,-0.503525
WM,1.0,0.979
MRNA,2.0,0.26335
FIS,,
FDX,2.0,0.7797000000000001
MRVL,,
MET,,
MAR,1.0,-0.8779
RIVN,5.0,0.55056
SLB,,
EMR,,
PXD,,
WDAY,,
KDP,,
SQ,3.0,0.9144
KLAC,1.0,0.9163
HUM,,
NEM,,
APD,,
SPG,,
SCCO,,
ECL,,
WBA,2.0,0.99115
TRV,,
